agent ID,weight updates in M,training time in min,highscore during training,average score during 1000 test episodes,highscore during 1000 test episodes
101.1,18.9,558,28,10.016,26
101.2,17.79,534,31,13.539,28
102.1,12.62,401,32,17.166,33
102.2,12.71,403,29,14.168,32
103.1,17.53,485,28,10.266,34
103.2,21.67,583,27,5.179,28
104.1,49.62,1055,4,0.417,4
104.2,55.07,1287,5,0.325,3
105.1,17.07,436,44,23.59,42
105.2,17.39,444,40,19.288,41
106.1,9.88,283,38,21.846,44
106.2,10.34,293,37,21.812,45
107.1,13.16,304,46,26.652,46
107.2,13.57,314,47,27.575,49
108.1,13.1,303,46,27.101,59
108.2,13.33,308,43,26.844,51
